,小区名字,总价,户型,建筑面积,单价,区域
11,御翠园四期,215,4室3厅,267.88平米,8026,净月区
12,万科城三期,112,3室2厅,99.86平米,11216,净月区
13,中海凤凰熙岸,94,2室2厅,89.16平米,10543,南关区
14,新星宇左岸,88,2室1厅,86.47平米,10177,高新区
15,钜城臻品壹号院,88,2室1厅,92.95平米,9468,南关区
16,东田青年城A区,78,3室2厅,87.5平米,8915,宽城区
17,开运福里B区,84.5,3室2厅,89.28平米,9465,朝阳区
18,万龙国际城一期,98,2室2厅,98.51平米,9949,宽城区
19,宇都和源,86,2室2厅,93.81平米,9168,高新区
20,雨润溪树华庭（南区）,85,2室1厅,92.08平米,9232,宽城区
21,御景名家A区,140,2室2厅,103.8平米,13488,汽车产业开发区
22,丰和日丽,104.5,2室1厅,85.29平米,12253,绿园区
23,绿地长春上海城B区,89,2室2厅,90.91平米,9790,绿园区
24,隆都翡翠湾,82,3室2厅,128.81平米,6366,绿园区
25,通安小区,55,3室1厅,71.44平米,7699,二道区
26,富豪花园西华苑,118,4室2厅,143平米,8252,朝阳区
27,保利罗兰香谷,385,4室2厅,248.92平米,15467,高新区
28,亚泰樱花苑,56.8,2室1厅,49.3平米,11522,二道区
29,福临家园西区,85,2室1厅,109平米,7799,经开区
30,长师宿舍,76.8,3室1厅,74平米,10379,南关区
1,长影世纪村,148,2室2厅,104.82平米,14120,朝阳区
2,万龙城,92,3室1厅,96.13平米,9571,南关区
3,中海凤凰熙岸,115,3室2厅,108.04平米,10645,南关区
4,公交宿舍,59,2室1厅,62.4平米,9456,朝阳区
5,开运福里A2区,118,3室2厅,96.46平米,12234,朝阳区
6,富豪花园别墅区,150,4室2厅,208.46平米,7196,朝阳区
7,车城花园,94,3室2厅,151.79平米,6193,绿园区
8,国信 ·嘉邑,137,3室2厅,123.73平米,11073,南关区
9,中海国际社区D区,240,3室2厅,163.27平米,14700,净月区
10,东安瑞凯国际一期,82,3室1厅,108.6平米,7551,南关区
11,圣世金鼎城,119,3室2厅,128平米,9297,南关区
12,保利春天里,109,3室1厅,99.79平米,10923,高新区
13,恒大名都,93,3室1厅,113.68平米,8181,高新区
14,郡望安石,85,3室2厅,93.76平米,9066,宽城区
15,中海兰庭,104.5,3室2厅,115.08平米,9081,高新区
16,星宇名家,103,3室2厅,107.8平米,9555,朝阳区
17,中海水岸春城,110,4室3厅,151.39平米,7267,净月区
18,万龙丽水湾,127,3室1厅,133.47平米,9516,高新区
19,吉林大学泰来小区,85,3室2厅,112.27平米,7572,绿园区
20,中海紫御华府,200,3室2厅,152.93平米,13078,经开区
21,咖啡小镇,109,3室2厅,121.86平米,8945,高新区
22,倚澜观邸二期,180,3室2厅,135平米,13334,高新区
23,吴中天悦公馆,329,5室2厅,238.56平米,13792,汽车产业开发区
24,绿色家园(净月区),86,3室2厅,114.72平米,7497,净月区
25,二三小区,47,2室1厅,52.44平米,8963,南关区
26,万龙第十城A区,45,1室1厅,46.47平米,9684,宽城区
27,万龙第十城A区,59.8,2室1厅,67.03平米,8922,宽城区
28,水宜家苑,75,2室2厅,114.35平米,6559,南关区
29,万科蓝山F区,105,2室2厅,88.26平米,11897,二道区
